,docno,recipe_name,ingredients,recipe,rate,views,keywords,description,calories,fatContent,proteinContent,url,rank,filtering
0,17798,Deep Dish Pizza (Like Pizza Hut),"2   tablespoons    oil,3/4  cup    skim milk, plus 2 tablespoons skim milk warmed to 110 degrees ,1   teaspoon    sugar,2 1/3  cups    all-purpose flour,2 1/4  teaspoons    fast rising yeast,1/2  teaspoon    table salt,1 (8   ounce) can   hunts tomato sauce (with basil, garlic and oregano)","assemble all ingredients place in bread machine or mixer to form dough.,remove and divide in half for two 8 in deep dish pizzas or one 16 in pizza.,heavily oil two 8 in cake pans to make two 8 in pizzas.,place in preheated oven of 175 degrees once at this temperature turn oven off place pizzas in the oven for a short rise about 10 -15 min.,layer peperoni on paper towels and microwave approximately 1 min 10 seconds depending on your microwave to help remove excess grease.,add sauce and cheese and any toppings you want then place pizzas in oven and heat oven to 400 degrees as the temperature rises this will give the pizza dough oven spring and allow the dough to rise creating the deep dish pizza like pizza hut.,cook pizza at 400 degrees for approximately 20 to 30 minuets or until.,done then slice and eat. have fun and enjoy.",0.0,0,healthy hours,make and share this deep dish pizza (like pizza hut) recipe from food.com.,369.4,7.9,11,food.com,0,"2 tablespoon oil,3/4 cup skim milk , plus 2 tablespoon skim milk warmed to 110 degree ,1 teaspoon sugar,2 1/3 cup all-purpose flour,2 1/4 teaspoon fast rising yeast,1/2 teaspoon table salt,1 ( 8 ounce ) can hunt tomato sauce ( with basil , garlic and oregano ) make and share this deep dish pizza ( like pizza hut ) recipe from food.com . healthy hour assemble all ingredient place in bread machine or mixer to form dough. , remove and divide in half for two 8 in deep dish pizza or one 16 in pizza. , heavily oil two 8 in cake pan to make two 8 in pizzas. , place in preheated oven of 175 degree once at this temperature turn oven off place pizza in the oven for a short rise about 10 -15 min. , layer peperoni on paper towel and microwave approximately 1 min 10 second depending on your microwave to help remove excess grease. , add sauce and cheese and any topping you want then place pizza in oven and heat oven to 400 degree a the temperature rise this will give the pizza dough oven spring and allow the dough to rise creating the deep dish pizza like pizza hut. , cook pizza at 400 degree for approximately 20 to 30 minuet or until. , done then slice and eat . have fun and enjoy ."
1,16983,Brandi's Favorite Pizza,"1   tablespoon    vegetable oil (additional 1 tbsp for softer crust),1 1/2  cups    warm water,2   tablespoons    brown sugar (packed),1   tablespoon    honey,3 1/2  cups    bread flour,1   teaspoon    salt,1   teaspoon    garlic powder (optional but recommended),1   teaspoon    oregano (optional but recommended),2 1/4  teaspoons    yeast (1 pkg)","preheat oven and pizza stone to 450f.,place ingredients in bread machine in the order listed, making a small pocket in center of flour mixture for the yeast.,select dough cycle.*.,let dough rise for at least 20 minutes. pound down and divide into two balls.,roll out or hand form crust. (see note).,form the pizza dough in two standard 16 inch pizza pans sprayed lightly with cooking spray.,perforate center of crust with a fork in multiple areas to prevent bubbles.,let dough set for another 10 minutes.,spread pizza sauce on dough 1/2 inch from edges. brush butter or olive oil on exposed edges.,pre-bake while still in pizza pan 6 minutes at 450f (pop any dough bubbles that may occur).,remove from oven. remove crust from pizza pan with metal spatula and place on pizza peel.(the peel isn&rsquo;t necessary but makes it easier to slide the pizza onto the stone in the oven).,finish dressing pizza as desired and place pizza crust directly on pizza stone and bake for additional 8-12 minutes, depending on how dark you want your crust.,let pizza cool for a few minutes before slicing.,*while mixing, scrape sides of bread machine pan with plastic spatula to ensure complete mixing and add additional flour as needed to barely remove stickiness from the dough ball. sides of mixing pan should appear clean with smooth dough ball in center when desired dough consistency is achieved.,note:  to achieve the desired crust firmness i have a two-step process which produces a picture perfect pizza that still has all the benefits of pizza stone baking. it also makes dressing and handling of the pizza much easier.",0.0,0,healthy bread machine small appliance hours,"this is by far the best pizza crust we have come up with, after tweaking and modifying several we has liked but weren't completely satisfied with.  this crust came out firm but not brittle and browned nicely on the top and bottom.",320.3,3.1,8.2,food.com,1,"1 tablespoon vegetable oil ( additional 1 tbsp for softer crust ) ,1 1/2 cup warm water,2 tablespoon brown sugar ( packed ) ,1 tablespoon honey,3 1/2 cup bread flour,1 teaspoon salt,1 teaspoon garlic powder ( optional but recommended ) ,1 teaspoon oregano ( optional but recommended ) ,2 1/4 teaspoon yeast ( 1 pkg ) this is by far the best pizza crust we have come up with , after tweaking and modifying several we ha liked but were n't completely satisfied with . this crust came out firm but not brittle and browned nicely on the top and bottom . healthy bread machine small appliance hour preheat oven and pizza stone to 450f. , place ingredient in bread machine in the order listed , making a small pocket in center of flour mixture for the yeast. , select dough cycle . *. , let dough rise for at least 20 minute . pound down and divide into two balls. , roll out or hand form crust . ( see note ) . , form the pizza dough in two standard 16 inch pizza pan sprayed lightly with cooking spray. , perforate center of crust with a fork in multiple area to prevent bubbles. , let dough set for another 10 minutes. , spread pizza sauce on dough 1/2 inch from edge . brush butter or olive oil on exposed edges. , pre-bake while still in pizza pan 6 minute at 450f ( pop any dough bubble that may occur ) . , remove from oven . remove crust from pizza pan with metal spatula and place on pizza peel . ( the peel isn & rsquo ; t necessary but make it easier to slide the pizza onto the stone in the oven ) . , finish dressing pizza a desired and place pizza crust directly on pizza stone and bake for additional 8-12 minute , depending on how dark you want your crust. , let pizza cool for a few minute before slicing. , *while mixing , scrape side of bread machine pan with plastic spatula to ensure complete mixing and add additional flour a needed to barely remove stickiness from the dough ball . side of mixing pan should appear clean with smooth dough ball in center when desired dough consistency is achieved. , note : to achieve the desired crust firmness i have a two-step process which produce a picture perfect pizza that still ha all the benefit of pizza stone baking . it also make dressing and handling of the pizza much easier ."
5,24446,Traditional Florentine Pizza Crust,"2 1/4  teaspoons    dry yeast,1   cup    warm water,1   tablespoon    sugar,1   teaspoon    salt,2   tablespoons    olive oil,3   cups    bread flour","mix the water with the sugar and yeast. let stand for 5 minutes until dissolved and the yeast starts to bubble.,add the salt, olive oil and 1 cup of the flour and mix well.,add 2 more cups of flour, dough should be still a little sticky but should be able to form a ball.,turn out onto floured surface and start to knead, adding a little bit of flour as needed, until your dough is smooth and elastic, about 10 minutes.,form a fall, place into an oiled bowl and cover with a cloth napkin. let dough rise for 45 minutes. punch down and divide in half.,preheat oven to 400&deg;f if using a pizza stone, be sure to put the stone in the oven while it heats up.,if using a baking pizza pan, lightly oil your baking pizza pan. otherwise, shape pizza on a lightly floured surface. with your hands, press on the dough to spread it out to about 1/2 cm high (very thin). top pizza with toppings of your choice. allow to rest for 10-15 minutes. if using a pizza stone, transfer to pizza stone.,drizzle olive oil over the top of the pizza before placing into the oven and bake for 18-22 minutes if using a pizza pan, 8-5 minutes if using a pizza stone, or until the cheese has melted and the crust is golden.",5.0,1,low cholesterol healthy hours,from &quot;tuscan recipes&quot; - http://www.tuscanrecipes.com/recipes/florentine-pizza-margerita.html,217.5,4.1,6.2,food.com,5,"2 1/4 teaspoon dry yeast,1 cup warm water,1 tablespoon sugar,1 teaspoon salt,2 tablespoon olive oil,3 cup bread flour from & quot ; tuscan recipe & quot ; - http : //www.tuscanrecipes.com/recipes/florentine-pizza-margerita.html low cholesterol healthy hour mix the water with the sugar and yeast . let stand for 5 minute until dissolved and the yeast start to bubble. , add the salt , olive oil and 1 cup of the flour and mix well. , add 2 more cup of flour , dough should be still a little sticky but should be able to form a ball. , turn out onto floured surface and start to knead , adding a little bit of flour a needed , until your dough is smooth and elastic , about 10 minutes. , form a fall , place into an oiled bowl and cover with a cloth napkin . let dough rise for 45 minute . punch down and divide in half. , preheat oven to 400 & deg ; f if using a pizza stone , be sure to put the stone in the oven while it heat up. , if using a baking pizza pan , lightly oil your baking pizza pan . otherwise , shape pizza on a lightly floured surface . with your hand , press on the dough to spread it out to about 1/2 cm high ( very thin ) . top pizza with topping of your choice . allow to rest for 10-15 minute . if using a pizza stone , transfer to pizza stone. , drizzle olive oil over the top of the pizza before placing into the oven and bake for 18-22 minute if using a pizza pan , 8-5 minute if using a pizza stone , or until the cheese ha melted and the crust is golden ."
6,17203,Pizza and Meat &amp; Cheese Lunchables," refrigerated pizza dough,  tomato sauce,  fresh basil, mini pepperoni, bocconcini mozzarella cheese,  pesto sauce,  gouda cheese,  prosciutto,5   slices    baguette,  olive oil,  salt & pepper,  cheese,  meat,  fig jam","to make the pizza boxes:.,dust your counter with flour and roll out the pizza dough. using a 3-1/4 inch round cookie cutter, punch out 6 dough rounds. bake in pre-heated oven per package instructions.,once the pizza rounds have cooled, place 3 in your pepperoni pizza box and 3 in your pesto pizza box.,to make the pepperoni pizza box, arrange tomato sauce, fresh basil, mini pepperoni and bocconcini mozzarella.,to make the pesto pizza box, arrange pesto sauce, gouda and prosciutto.,build pizzas and enjoy.,to make the meat &amp; cheese box:.,arrange the slices of baguette on a quarter sheet pan lined with parchment paper. drizzle olive oil over the baguette slices, then sprinkle with salt and pepper. broil them until golden brown to make crostini.,slice cheese into bite-sized slices.,to compose the box, add the crostini, the cheese slices, meats and fig jam.,try different combinations and enjoy.",0.0,0,low cholesterol healthy mins,"you can still be the coolest kid in the lunch room by prepping some build-your-own lunchables. with everything already measured out in zip top bags, everybody will be talking about how epic your pizza game is.",308.3,1.9,12.5,food.com,6,"refrigerated pizza dough , tomato sauce , fresh basil , mini pepperoni , bocconcini mozzarella cheese , pesto sauce , gouda cheese , prosciutto,5 slice baguette , olive oil , salt & pepper , cheese , meat , fig jam you can still be the coolest kid in the lunch room by prepping some build-your-own lunchables . with everything already measured out in zip top bag , everybody will be talking about how epic your pizza game is . low cholesterol healthy min to make the pizza box : . , dust your counter with flour and roll out the pizza dough . using a 3-1/4 inch round cookie cutter , punch out 6 dough round . bake in pre-heated oven per package instructions. , once the pizza round have cooled , place 3 in your pepperoni pizza box and 3 in your pesto pizza box. , to make the pepperoni pizza box , arrange tomato sauce , fresh basil , mini pepperoni and bocconcini mozzarella. , to make the pesto pizza box , arrange pesto sauce , gouda and prosciutto. , build pizza and enjoy. , to make the meat & amp ; cheese box : . , arrange the slice of baguette on a quarter sheet pan lined with parchment paper . drizzle olive oil over the baguette slice , then sprinkle with salt and pepper . broil them until golden brown to make crostini. , slice cheese into bite-sized slices. , to compose the box , add the crostini , the cheese slice , meat and fig jam. , try different combination and enjoy ."
7,30565,Five Minute Tortilla Pizzas,"  olive oil flavored cooking spray,  garlic powder,2       whole wheat tortillas,8 -10   tablespoons    pizza sauce,4 -6   tablespoons    mozzarella cheese (shredded)","heat the oven to 450 degrees.,spray each tortilla lightly with the olive oil spray, and then flip them over, so that the oiled side is facing down.,lightly sprinkle the top of the tortillas with garlic powder.,cut each tortilla in half (this will allow you to fit both tortillas on the pizza stone) and arrange on a pizza stone.,evenly divide the tomato sauce over the tortillas. sprinkle with the cheese.,add any additional toppings you desire, and put the pizza stone into the oven. watch carefully to ensure the pizza doesn't burn. (in my convection oven, the pizza was done after a mere 5 minutes).",4.0,1,healthy kid friendly high in mins oven beginner cook easy inexpensive,"this is super simple way to make mini pizzas. the olive oil spray will prevent the pizzas from being soggy in the middle--yay!

feel free to add whatever additional toppings you have on hand. we especially like to add caramelized onions.",196.9,6.4,7.9,food.com,7,"olive oil flavored cooking spray , garlic powder,2 whole wheat tortillas,8 -10 tablespoon pizza sauce,4 -6 tablespoon mozzarella cheese ( shredded ) this is super simple way to make mini pizza . the olive oil spray will prevent the pizza from being soggy in the middle -- yay ! feel free to add whatever additional topping you have on hand . we especially like to add caramelized onion . healthy kid friendly high in min oven beginner cook easy inexpensive heat the oven to 450 degrees. , spray each tortilla lightly with the olive oil spray , and then flip them over , so that the oiled side is facing down. , lightly sprinkle the top of the tortilla with garlic powder. , cut each tortilla in half ( this will allow you to fit both tortilla on the pizza stone ) and arrange on a pizza stone. , evenly divide the tomato sauce over the tortilla . sprinkle with the cheese. , add any additional topping you desire , and put the pizza stone into the oven . watch carefully to ensure the pizza doe n't burn . ( in my convection oven , the pizza wa done after a mere 5 minute ) ."
8,35884,World's Easiest PIzza Crust,"1 1/2  cups    all-purpose flour,3/8  teaspoon    salt,2 1/4  teaspoons    baking powder,1   cup   nonfat plain greek strained yogurt","preheat oven to 425.  mix 1 1/4 cups of flour (reserve a quarter cup), salt, baking powder, and yogurt together.,use knead attachment on mixing bowl and mix for 5 minutes.  dough will still be very very sticky.  add in remaining 1/4 cup flour.  mix on very low speed until dough for a few seconds just comes together.  do not knead again because the dough will become sticky again.,put whatever toppings you wish on pizza.  sprinkle cornmeal onto pizza stone.  place one of the pizzas onto the pizza stone and bake about 10 minutes until dough rises, bubbles up and turns a golden brown.  bake only pizzas one at a time.  eat immediately.",0.0,0,low cholesterol healthy high in mins easy,"it really is the easiest crust i've ever made.  no yeast, no waiting for it to rise, no wishing it would hurry up.  you don't need to go to pizza crust cooking school or even the store to make pizza.  save some extra flour and extra cornmeal for dusting.  recipe courtesy of kirbie's cravings.",418.6,4.9,13.9,food.com,8,"1 1/2 cup all-purpose flour,3/8 teaspoon salt,2 1/4 teaspoon baking powder,1 cup nonfat plain greek strained yogurt it really is the easiest crust i 've ever made . no yeast , no waiting for it to rise , no wishing it would hurry up . you do n't need to go to pizza crust cooking school or even the store to make pizza . save some extra flour and extra cornmeal for dusting . recipe courtesy of kirbie 's craving . low cholesterol healthy high in min easy preheat oven to 425. mix 1 1/4 cup of flour ( reserve a quarter cup ) , salt , baking powder , and yogurt together. , use knead attachment on mixing bowl and mix for 5 minute . dough will still be very very sticky . add in remaining 1/4 cup flour . mix on very low speed until dough for a few second just come together . do not knead again because the dough will become sticky again. , put whatever topping you wish on pizza . sprinkle cornmeal onto pizza stone . place one of the pizza onto the pizza stone and bake about 10 minute until dough rise , bubble up and turn a golden brown . bake only pizza one at a time . eat immediately ."
9,16788,My Favourite Pizza Dough,"4 1/2  cups    bread flour,1 1/2  teaspoons    sugar,1 1/2  teaspoons    salt,2 1/4  teaspoons    instant yeast,3   tablespoons    olive oil,1 3/4  cups    warm water (approx. 105 degrees)","combine all of the dry ingredients in a bowl. and whisk to blend. &nbsp;add the remaking ingredients to the bowl, and using a dough hook, blend the dough until everything is incorporated. &nbsp;knead the dough with the hook for 5 minutes.,grease a large bowl. &nbsp;shape the dough into a ball and place in the greased bowl. grease the dough, cover with plastic then place in the fridge &nbsp;overnight. &nbsp;at this point, you can freeze it, well wrapped, if you like.,remove from the refrigerator and divide the dough into 2 or 3 parts, depending on whether you want thin or thick crust pizzas. shape into balls and let rest for about 2 hours before baking.,shape the pizzas using your hands and place on parchment paper, then on the pizza pan. &nbsp;add your preferred pizza sauce and top with desired toppings.,preheat the oven to 500&amp;deg;f if using a pizza stone, place it in the oven prior to heating the oven.,using the pizza pan, slide just the pizza and the parchment paper, onto the hot stone. &nbsp;bake for approximately 7 minutes, or until desired colour is reached.,to remove from the oven, slide the cooked pizza using the parchment paper, back onto the pizza pan. let cool several minutes before slicing. enjoy.",0.0,0,healthy mins,the dough forms a nice crust that is both crunchy &amp; chewy...delicious. i make 2 large thick crust pizzas.,409.9,7.8,10.3,food.com,9,"4 1/2 cup bread flour,1 1/2 teaspoon sugar,1 1/2 teaspoon salt,2 1/4 teaspoon instant yeast,3 tablespoon olive oil,1 3/4 cup warm water ( approx . 105 degree ) the dough form a nice crust that is both crunchy & amp ; chewy ... delicious . i make 2 large thick crust pizza . healthy min combine all of the dry ingredient in a bowl . and whisk to blend . & nbsp ; add the remaking ingredient to the bowl , and using a dough hook , blend the dough until everything is incorporated . & nbsp ; knead the dough with the hook for 5 minutes. , grease a large bowl . & nbsp ; shape the dough into a ball and place in the greased bowl . grease the dough , cover with plastic then place in the fridge & nbsp ; overnight . & nbsp ; at this point , you can freeze it , well wrapped , if you like. , remove from the refrigerator and divide the dough into 2 or 3 part , depending on whether you want thin or thick crust pizza . shape into ball and let rest for about 2 hour before baking. , shape the pizza using your hand and place on parchment paper , then on the pizza pan . & nbsp ; add your preferred pizza sauce and top with desired toppings. , preheat the oven to 500 & amp ; deg ; f if using a pizza stone , place it in the oven prior to heating the oven. , using the pizza pan , slide just the pizza and the parchment paper , onto the hot stone . & nbsp ; bake for approximately 7 minute , or until desired colour is reached. , to remove from the oven , slide the cooked pizza using the parchment paper , back onto the pizza pan . let cool several minute before slicing . enjoy ."
11,49876,Healthy Vegetable Pizza,"1   small    red bell pepper, chopped ,1   small    green bell pepper, chopped ,1   small    yellow bell pepper, chopped ,1   small    red onion, chopped ,2   tablespoons    virgin olive oil,1 -2       garlic clove, minced ,1   tablespoon    italian seasoning,8   ounces   of crumbled feta cheese,1       whole wheat pizza crust,1       chicken breast (optional)","preheat oven to 350.  place pizza crust on pizza pan. chop red onion and all 3 peppers and place in  bowl. combine olive oil, garlic, and italian seasoning so all the peppers and onions are coated.  pour over pizza crust and sprinkle with feta cheese.  bake for approx 10-15 min or until cheese has started to brown.  if you wish to add chicken, grill beforehand and chop.  mix in with vegetables and spread over pizza crust, add feta on top.",0.0,0,vegetable mins beginner cook easy,"during my undergraduate training i needed to take a nutrition class.  as part of our final we had to create the best balanced entre we could come up with. we incorporated good fats,  vegetables, dairy, whole wheat and protein (optional) to make a very simple, tasty dish.  everyone in class loved it and we got an a, so hopefully you will enjoy too!  be careful when assembling pizza though, with too much pepper and onion, the vegetables won't cook evenly and you end up with a mess (but it's still yummy!)",245.4,19.7,9.5,food.com,11,"1 small red bell pepper , chopped ,1 small green bell pepper , chopped ,1 small yellow bell pepper , chopped ,1 small red onion , chopped ,2 tablespoon virgin olive oil,1 -2 garlic clove , minced ,1 tablespoon italian seasoning,8 ounce of crumbled feta cheese,1 whole wheat pizza crust,1 chicken breast ( optional ) during my undergraduate training i needed to take a nutrition class . a part of our final we had to create the best balanced entre we could come up with . we incorporated good fat , vegetable , dairy , whole wheat and protein ( optional ) to make a very simple , tasty dish . everyone in class loved it and we got an a , so hopefully you will enjoy too ! be careful when assembling pizza though , with too much pepper and onion , the vegetable wo n't cook evenly and you end up with a mess ( but it 's still yummy ! ) vegetable min beginner cook easy preheat oven to 350. place pizza crust on pizza pan . chop red onion and all 3 pepper and place in bowl . combine olive oil , garlic , and italian seasoning so all the pepper and onion are coated . pour over pizza crust and sprinkle with feta cheese . bake for approx 10-15 min or until cheese ha started to brown . if you wish to add chicken , grill beforehand and chop . mix in with vegetable and spread over pizza crust , add feta on top ."
12,1334,Black-Bean-Pizza-Dough Recipe,"1   teaspoon    active dry yeast,2   cups    bread flour,1/4  teaspoon    salt,1/2  cup   lukewarm water,1/2  teaspoon    cayenne pepper (optional),1/4  cup   pureed black beans (if use canned beans, rinse and drain first)","combine and knead all ingredients (i used my bread machine).,let rise 50-60 minutes.,roll dough on a cornmeal-covered counter.,place dough in pizza pan.,for a thin, crispy crust, place toppings on dough and bake immediately.,for a thicker, chewier crust, allow dough to rise 15-30 minutes before adding toppings.,place pizza on the bottom rack of oven (preheated to 500&deg;f) 5-10 minutes.,we filled our pizzas with pizza sauce, rest of the black beans, tomatoes, zucchini, onions.",5.0,17,breads lunch snacks black beans beans vegetable vegan low cholesterol healthy weeknight oven hours easy,make and share this black-bean-pizza-dough recipe recipe from food.com.,122.5,0.4,3.9,food.com,12,"1 teaspoon active dry yeast,2 cup bread flour,1/4 teaspoon salt,1/2 cup lukewarm water,1/2 teaspoon cayenne pepper ( optional ) ,1/4 cup pureed black bean ( if use canned bean , rinse and drain first ) make and share this black-bean-pizza-dough recipe recipe from food.com . bread lunch snack black bean bean vegetable vegan low cholesterol healthy weeknight oven hour easy combine and knead all ingredient ( i used my bread machine ) . , let rise 50-60 minutes. , roll dough on a cornmeal-covered counter. , place dough in pizza pan. , for a thin , crispy crust , place topping on dough and bake immediately. , for a thicker , chewier crust , allow dough to rise 15-30 minute before adding toppings. , place pizza on the bottom rack of oven ( preheated to 500 & deg ; f ) 5-10 minutes. , we filled our pizza with pizza sauce , rest of the black bean , tomato , zucchini , onion ."
13,18785,Jane's Pizza Sauce (Oamc),"1   large    onion, chopped ,2       garlic cloves, minced ,3   tablespoons    olive oil,1 (28   ounce) can   whole tomatoes,1 (28   ounce) can   crushed tomatoes,1 (12   ounce) can   tomato paste,1   teaspoon    salt,3 -5   dashes    ground pepper, to taste ,2   teaspoons    dried oregano,2   teaspoons    dried basil,1       bay leaf,1/4  cup    parsley, chopped ","brown onion and garlic in oil until soft and golden.,add remaining ingredients and heat to boiling over medium heat.,reduce and simmer uncovered for approximately two hours, stirring occasionally, until sauce has thickened (and mushing up the tomatoes a bit with your spoon when you stir).,discard bay leaf.,makes enough sauce for 5-6 pizzas.,to use for pizza:either follow directions on your favorite pizza recipe or spread desired amount of sauce on pizza dough, top with cheese and any other toppings as desired, then bake in a preheated 425 f oven for about 15-20 minutes.",0.0,0,vegetable european low protein low cholesterol healthy savory hours,found this recipe tucked in one of my mom's cookbooks. jane was a neighbor when i was growing up. she was an amazing cook. mom would buy pizza dough from the local pizzeria to make pizza at home. this makes enough sauce for about 5-6 large pizzas. it will be very thick and slightly chunky. freeze in small batches for up to 3 months.,135.6,5.7,3.9,food.com,13,"1 large onion , chopped ,2 garlic clove , minced ,3 tablespoon olive oil,1 ( 28 ounce ) can whole tomatoes,1 ( 28 ounce ) can crushed tomatoes,1 ( 12 ounce ) can tomato paste,1 teaspoon salt,3 -5 dash ground pepper , to taste ,2 teaspoon dried oregano,2 teaspoon dried basil,1 bay leaf,1/4 cup parsley , chopped found this recipe tucked in one of my mom 's cookbook . jane wa a neighbor when i wa growing up . she wa an amazing cook . mom would buy pizza dough from the local pizzeria to make pizza at home . this make enough sauce for about 5-6 large pizza . it will be very thick and slightly chunky . freeze in small batch for up to 3 month . vegetable european low protein low cholesterol healthy savory hour brown onion and garlic in oil until soft and golden. , add remaining ingredient and heat to boiling over medium heat. , reduce and simmer uncovered for approximately two hour , stirring occasionally , until sauce ha thickened ( and mushing up the tomato a bit with your spoon when you stir ) . , discard bay leaf. , make enough sauce for 5-6 pizzas. , to use for pizza : either follow direction on your favorite pizza recipe or spread desired amount of sauce on pizza dough , top with cheese and any other topping a desired , then bake in a preheated 425 f oven for about 15-20 minute ."
