Ingredient,Amount,Substitutes
Alcohol Substitutions,,see Alcohol Substitutions In Cooking
Almond paste,1 1/3 cups,1 3/4 cups ground blanched almonds plus 1 1/2 cups powdered sugar plus 1 egg white plus 1 teaspoon almond extract plus 1/4 teaspoon salt
Allspice,1 teaspoon,1/2 teaspoon cinnamon and 1/2 teaspoon ground cloves
Anchovies,1 fillet,1/2 teaspoon anchovy paste
Anise Seed,1 teaspoon,1 teaspoon star anise1 teaspoon cardamom
Anise Extract,1 teaspoon,1 1/2 teaspoon ground anise seed1/2 teaspoon anise powder
Apple pie spice,1 teaspoon,"1/2 teaspoon cinnamon, 1/4 teaspoon nutmeg, 1/8 teaspoon ground allspice, and either 1/8 teaspoon ground cardamom, ginger or cloves"
Arrowroot starch,1 tablespoon,1 tablespoon cornstarch2 tablespoons flour (to thicken)2 1/4 teaspoons of either potato starch or rice starch
Baking dish and pan sizes,,see Baking Dish and Pan Sizes - How to substitute different pans sizes
"Baking powder, double actingRule: 1 teaspoon for every 1 cup flour",1 teaspoon,"1/4 teaspoon baking soda and 5/8 teaspoon cream of tartar1/3 teaspoon baking soda and 1/2 teaspoon cream of tarter1/3 teaspoon baking soda and 1/2 teaspoon cream of tartar1/4 teaspoon baking soda and 1/2 cup sour milk, buttermilk, or yogurt (decrease liquid amount called for in recipe by 1/2 cup)1/4 teaspoon baking soda and 1/2 teaspoon lemon juice or vinegar used with sweet milk to make 1/2 cup (decrease liquid amount called for in recipe by 1/2 cup)1/4 teaspoon baking soda and 1/4 cup molasses (decrease liquid amount in recipe by 1 to 2 tablespoons)1 1/2 teaspoons phosphate or tartate baking powder1 1/2 teaspoons single-action baking powder"
Baking Soda (Sodium Bicarbonate)Rule: 1/4 teaspoon for every 1 cup flour,1 teaspoon,You need to use 2 to 3 times more double-acting baking powder than baking soda. Replace acidic liquid ingredient in recipe with non-acidic liquid.3/4 teaspoon Ammonium bicarbonate
Bay leaf,1 whole,1/4 teaspoon crushed bay leaves
Beau Monde seasoning ,1 teaspoon,"1 teaspoon seasoning salt1/2 teaspoon table salt plus dash of garlic salt, onion salt, and celery salt1/2 teaspoon Mei Yen seasoningsee Beau Monde Seasoning Salt recipe"
Beer,1 cup,"1 cup water, white grape juice, apple cider or apple juice, diluted peach or apricot syrups. (Substitute equal amounts of liquid.)"
Brandy,1/4 cup,"1 tsp brandy extract plus enough water or liquid called for in recipe to make 1/4 cupWater, white grape juice, apple cider or apple juice, diluted peach or apricot syrups. (Substitute equal amounts of liquid.)"
"Bread Crumbs, dry",1 cup,1 cup crushed cracker crumbs1 cup matzo meal1 cup crushed cornflakes1 cup ground oats1 cup crushed potato chips
"Bread Crumbs, Soft",3/4 cup,1 slice soft or fresh bread
"Broth, beef or chicken ",1 cup,1 bouillon cube dissolved in 1 cup boiling water1 cup boiling water1 teaspoon powdered broth base dissolved in 1 cup boiling water
ButterRule: Don't use spreads or low-fat butter in baking,1 cup,7/8 to 1 cup hydrogenated fat (shortening) and 1/2 teaspoon salt7/8 cup lard plus 1/2 teaspoon salt1 cup margarine7/8 cup oil plus 1/2 teaspoon salt7/8 cup oilTo reduce fat and calories - applesauce or prune puree for half of the butter in the recipe
